year,country,hospital,equipment,oem,model,sn,fix,result,notes
2015,,Meru District / Tengeru,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)",Unicef,n/a,n/a,Mechanical Simple,Repaired,Replaced gauge
2015,,Meru District / Tengeru,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)",n/a,n/a,n/a,Mechanical Simple,Repaired,Replaced gauge
2015,,Meru District / Tengeru,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)",Riester,n/a,n/a,Installation/Training,Repaired,No repairs
2015,,Meru District / Tengeru,Stethoscopes,MSD,n/a,n/a,Installation/Training,Repaired,No repairs
2015,,Meru District / Tengeru,Stethoscopes,n/a,n/a,n/a,Mechanical Simple,Repaired,Reseated diaphragm
2015,,Meru District / Tengeru,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)",Medizintechnik,n/a,n/a,Mechanical Simple,Repaired,Replaced gauge
2015,,Meru District / Tengeru,Oxygen Concentrator,Nidek Medical,MSC5/Mark5 NUVO/STD,07200666,Plumbing,Repaired,Replaced humidifier
2015,,Meru District / Tengeru,"Blood Pressure Device, Automatic (NIBP)",Health Sense,n/a,n/a,Installation/Training,Repaired,Added batteries
2015,,Meru District / Tengeru,"Blood Pressure Device, Automatic (NIBP)",Omron Healthcare,HEM-741CRELN2,n/a,Installation/Training,Repaired,Added batteries
2015,,Meru District / Tengeru,Oxygen Concentrator,Longfei,LFY-I-8E,11950195,Electric Simple,Abandoned,Replaced transformer; control circuitry fault still
2015,,Meru District / Tengeru,Oxygen Concentrator,SYSMED,OC-S50,301050036407290062,Electric Simple,Abandoned,Transformer broken
2015,,Meru District / Tengeru,Centrifuge,Digisystem Laboratory Instruments Inc.,DSC-300SD,0606073,Electric Simple,Repaired,"Added plug, epoxied locking mechanism"
2015,,Meru District / Tengeru,Other,n/a,n/a,n/a,Electric Simple,Repaired,X-ray film developing chemical bath heater; replaced fuses
2015,,Meru District / Tengeru,"Lamp, surgical",n/a,n/a,n/a,Electric Simple,Repaired,"Rewired around transformer, rewired light sockets, replaced bulbs"
2015,,Meru District / Tengeru,Automatic Voltage Regulator,Samlex Electric Company,CVR1000,n/a,Electric Simple,Repaired,Replaced switch
2015,,Meru District / Tengeru,Shaker Machine (laboratory),Digisystem Laboratory Instruments Inc.,RM-500,0606130,Mechanical Simple,Repaired,"Reseated gears, superglued in place"
2015,,Meru District / Tengeru,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)",F. Bosch ,Konstante 1,0414785,Mechanical Simple,Repaired,Replaced cuff
2015,,Meru District / Tengeru,Other,Surace,n/a,/na,Mechanical Simple,Repaired,Wheelchair; fixed broken wheel
2015,,Meru District / Tengeru,Telephone,Huawei,ETS2288,21510605277076009679,Electric Simple,Repaired,Fixed broken connection on charger
2015,,Meru District / Tengeru,Scales (laboratory and in wards),EKS,n/a,n/a,Mechanical Simple,Abandoned,Broken spring; not calibrated correctly
2015,,Meru District / Tengeru,Water Bath (laboratory),Memmert,WNB 10,L310.0352,Electric Simple,Abandoned,"Not heating, heating element likely broken"
2015,,Meru District / Tengeru,"Autoclave (lab, surgery, and other)",All American,25X,0010562,Electric Simple,Abandoned,Electrical short on outside frame
2015,,Meru District / Tengeru,"Autoclave (lab, surgery, and other)",n/a,YX-280B,205,Electric Simple,Abandoned,Electrical short on outside frame
2015,,Meru District / Tengeru,"Autoclave (lab, surgery, and other)",n/a,n/a,n/a,Plumbing,Abandoned,Could not seal in new heating element
2015,,Meru District / Tengeru,"Autoclave (lab, surgery, and other)",Heuer,n/a,n/a,Mechanical Simple,Abandoned,Could not remove broken heating element
2015,,Meru District / Tengeru,Incubator (infant),Ningbo David Medical Device co. ,HKN-93,n/a,Other,Abandoned,Software or control error
2015,,Meru District / Tengeru,"Autoclave (lab, surgery, and other)",Dutch Sterlizer,DSV 70,200149,Electric Simple,Abandoned,Problem with control relay device
2015,,Meru District / Tengeru,Scales (laboratory and in wards),n/a,n/a,n/a,Mechanical Simple,Repaired,Broken glass cover
2015,,Meru District / Tengeru,Scales (laboratory and in wards),Nikai,n/a,n/a,Mechanical Simple,Repaired,Calibrated
2015,,Meru District / Tengeru,Scales (laboratory and in wards),Nikai,n/a,n/a,Mechanical Simple,Repaired,Calibrated
2015,,Meru District / Tengeru,Scales (laboratory and in wards),n/a,n/a,n/a,Mechanical Simple,Repaired,Calibrated
2015,,Meru District / Tengeru,"Blood Pressure Device, Automatic (NIBP)",Italian Medical Touc,My Pressure,1007C94,Installation/Training,Repaired,"Found in box with gauges, put on gauge"
2015,,Meru District / Tengeru,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)",Riester,n/a,n/a,Installation/Training,Repaired,"Found in box with gauges, put on gauge"
2015,,Meru District / Tengeru,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)",Riester,n/a,n/a,Installation/Training,Repaired,"Found in box with gauges, put on gauge"
2015,,Meru District / Tengeru,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)",American Diagnostic Corp,n/a,n/a,Installation/Training,Repaired,"Found in box with gauges, put on gauge"
2015,,Meru District / Tengeru,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)",Idass,n/a,n/a,Installation/Training,Repaired,"Found in box with gauges, put on gauge"
2015,,Meru District / Tengeru,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)",Riester,n/a,n/a,Installation/Training,Repaired,"Found in box with gauges, put on gauge"
2015,,Meru District / Tengeru,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)",American Diagnostic Corp,n/a,n/a,Installation/Training,Repaired,"Found in box with gauges, put on gauge"
2015,,Meru District / Tengeru,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)",Riester,n/a,n/a,Installation/Training,Repaired,"Found in box with gauges, put on gauge"
2015,,Meru District / Tengeru,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)",Vital Signs,n/a,n/a,Installation/Training,Repaired,"Found in box with gauges, put on gauge"
2015,Tanzania,Mawenzi Regional Hospital / Moshi,Centrifuge,Remi,R8C,KJLC-7906,Power Supply,Repaired,
2015,Tanzania,Mawenzi Regional Hospital / Moshi,"Oven (laboratory, not kitchen)",Pickaxe,n/a,n/a,Mechanical Simple,Repaired,
2015,Tanzania,Mawenzi Regional Hospital / Moshi,Other,Memmert,TV15B,717090.0,Mechanical Simple,Repaired,Laboratory Incubator
2015,Tanzania,Mawenzi Regional Hospital / Moshi,Distiller,Nuve,NS103,263373.0,Plumbing,Repaired,
2015,Tanzania,Mawenzi Regional Hospital / Moshi,"Autoclave (lab, surgery, and other)",Nulife,SN0MMI,n/a,Mechanical Simple,Repaired,
2015,Tanzania,Mawenzi Regional Hospital / Moshi,Other,Dometic,RCW50EG,1180452.0,Installation/Training,,Laboratory Refrigerator
2015,Tanzania,Mawenzi Regional Hospital / Moshi,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)",Reister,Precisia N,120739234.0,Mechanical Simple,Repaired,
2015,Tanzania,Mawenzi Regional Hospital / Moshi,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)",CA-M1,A-50,PR315050,Mechanical Simple,Repaired,
2015,Tanzania,Mawenzi Regional Hospital / Moshi,Pulse Oximeter,CONTEC,CMS50D,09AJ152272,Electric Simple,,
2015,Tanzania,Mawenzi Regional Hospital / Moshi,Stethoscopes,Reister,Duplex,n/a,Mechanical Simple,Repaired,
2015,Tanzania,Mawenzi Regional Hospital / Moshi,Stethoscopes,3M,Littman Classic 2 SE,17N29055,Mechanical Simple,Repaired,
2015,Tanzania,Mawenzi Regional Hospital / Moshi,Stethoscopes,n/a,n/a,n/a,Plumbing,,
2015,Tanzania,Mawenzi Regional Hospital / Moshi,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)",Reister,Precisa N,120739245.0,Mechanical Simple,Repaired,
2015,Tanzania,Mawenzi Regional Hospital / Moshi,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)",n/a,n/a,n/a,Mechanical Simple,Repaired,
2015,Tanzania,Mawenzi Regional Hospital / Moshi,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)",Reister,Ri-san,130414793.0,Plumbing,Repaired,
2015,Tanzania,Mawenzi Regional Hospital / Moshi,Stethoscopes,Reister,Duplex,n/a,Installation/Training,Repaired,
2015,Tanzania,Mawenzi Regional Hospital / Moshi,Thermometers,Marketing and Solutions Inc,MT1691-BMF,n/a,Installation/Training,,
2015,Tanzania,Mawenzi Regional Hospital / Moshi,Aspirator/Suction Machine,Fazzini,F-36,110106.0,Plumbing,Repaired,Electric Suction Machine
2015,Tanzania,Mawenzi Regional Hospital / Moshi,Aspirator/Suction Machine,n/a,H004,n/a,Plumbing,Repaired,Manual Suction Machine
2015,Tanzania,Mawenzi Regional Hospital / Moshi,Other,na,n/a,n/a,Mechanical Simple,Repaired,Laundry Cart
2015,Tanzania,Mawenzi Regional Hospital / Moshi,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)",n/a,n/a,n/a,Mechanical Simple,Repaired,
2015,Tanzania,Mawenzi Regional Hospital / Moshi,Nebulizer,Pulmostar,4650V,VO221838,Installation/Training,Repaired,
2015,Tanzania,Mawenzi Regional Hospital / Moshi,"Bed, delivery",n/a,n/a,n/a,Mechanical Simple,Repaired,
2015,Tanzania,Mawenzi Regional Hospital / Moshi,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)",n/a,n/a,n/a,Mechanical Simple,Repaired,
2015,Tanzania,Mawenzi Regional Hospital / Moshi,Pulse Oximeter,Yuyue,n/a,B130800097,Electric Simple,Repaired,
2015,Tanzania,Mawenzi Regional Hospital / Moshi,Other,n/a,n/a,n/a,Electric Simple,,Physiotherapy Ultrasound
2015,Tanzania,Mawenzi Regional Hospital / Moshi,Ophthalmoscope (eye examination instrument) ,Heine,Beta 200,n/a,Electric Simple,,
2015,Tanzania,Mawenzi Regional Hospital / Moshi,Ophthalmoscope (eye examination instrument) ,Heine,Beta 200,n/a,Electric Simple,,
2015,Tanzania,Mawenzi Regional Hospital / Moshi,Nebulizer,Yuyue,403A,1.0,Installation/Training,Repaired,
2015,Tanzania,Mawenzi Regional Hospital / Moshi,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)",Reister,Precisa N,120739225.0,Plumbing,Repaired,
2015,Tanzania,Mawenzi Regional Hospital / Moshi,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)",Reister,Precisa N,90767653.0,Plumbing,Repaired,
2015,Tanzania,Mawenzi Regional Hospital / Moshi,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)",n/a,n/a,n/a,Mechanical Simple,Repaired,
2015,Tanzania,Mawenzi Regional Hospital / Moshi,Aspirator/Suction Machine,Fazzini,F-36.00,80101.0,Plumbing,Repaired,Electric Suction Machine
2015,Tanzania,Mawenzi Regional Hospital / Moshi,Other,n/a,n/a,n/a,Mechanical Simple,Repaired,Cast Cutter
2015,Tanzania,Mawenzi Regional Hospital / Moshi,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)",Medicus,n/a,404862.0,Mechanical Simple,,
2015,Tanzania,Mawenzi Regional Hospital / Moshi,"Blood Pressure Device, Automatic (NIBP)",Omron,RX3,n/a,Power Supply,,
2015,Tanzania,Mawenzi Regional Hospital / Moshi,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)",Reister,Precisa N,120846968.0,Plumbing,Repaired,
2015,Tanzania,Mawenzi Regional Hospital / Moshi,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)",Reister,Precisa N,80705816.0,Plumbing,Repaired,
2015,Tanzania,Mawenzi Regional Hospital / Moshi,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)",Reister,Precisa N,90767656.0,Plumbing,Repaired,
2015,Tanzania,Mawenzi Regional Hospital / Moshi,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)",n/a,n/a,n/a,Installation/Training,Repaired,
2015,Tanzania,Mawenzi Regional Hospital / Moshi,Stethoscopes,3M,Littmann,I1G37027,Mechanical Simple,Repaired,
2015,Tanzania,Mawenzi Regional Hospital / Moshi,Stethoscopes,Gowllands,n/a,n/a,Mechanical Simple,Repaired,
2015,Tanzania,Mawenzi Regional Hospital / Moshi,Stethoscopes,MSC,n/a,224600.0,Mechanical Simple,Repaired,
2015,Tanzania,Mawenzi Regional Hospital / Moshi,Stethoscopes,All American ,75X,3231.0,Mechanical Simple,Repaired,
2015,Tanzania,Mawenzi Regional Hospital / Moshi,"Autoclave (lab, surgery, and other)",Reister,Duplex,n/a,Mechanical Simple,Repaired,
2015,Tanzania,Mawenzi Regional Hospital / Moshi,"Lamp, examination",n/a,n/a,n/a,Installation/Training,Repaired,
2015,Tanzania,Mawenzi Regional Hospital / Moshi,Oxygen Concentrator,Nuvo,Mark5,5221830.0,Mechanical Simple,Repaired,
2015,Tanzania,Mawenzi Regional Hospital / Moshi,Oxygen Concentrator,Airsep,Newlife,N53916,Mechanical Simple,,
2015,Tanzania,Mawenzi Regional Hospital / Moshi,Aspirator/Suction Machine,Shaf,YX930D-1A,n/a,Plumbing,,Electric Suction Machine
2015,Tanzania,Mawenzi Regional Hospital / Moshi,Aspirator/Suction Machine,n/a,H004,n/a,Mechanical Simple,Repaired,Manual Suction Machine
2015,Tanzania,Mawenzi Regional Hospital / Moshi,Aspirator/Suction Machine,Ambu TwinPump,n/a,n/a,Mechanical Simple,Repaired,Manual Suction Machine
2015,Tanzania,Mawenzi Regional Hospital / Moshi,Aspirator/Suction Machine,n/a,H004,n/a,Mechanical Simple,,Manual Suction Machine
2015,Tanzania,KCMC Moshi,Pulse Oximeter,Nellcor,n-20,20964546.0,Electric Simple,Repaired,Loose lead in electrode. Electrode replaced. Old electrode repaired
2015,Tanzania,KCMC Moshi,Pulse Oximeter,Biochem,3040G,5802170G,Mechanical Simple,Abandoned,"Only reads ""E1"" on screen. Believed to be an error with RAM according to manual."
2015,Tanzania,KCMC Moshi,Pulse Oximeter,Biochem,3040G,5800617G,Electric Simple,Repaired,"Functions sporadically but sometimes displays ""E2."" Solved by switching top circuit board with another machine. "
2015,Tanzania,KCMC Moshi,Patient Monitor,Agilent,M1770A,CND4751831,Installation/Training,Repaired,"Too much noise in readings originally, but once more gel was used the readings were normal."
2015,Tanzania,KCMC Moshi,ECG Machine,Schiller,AT-2 plus,025. 13111,Mechanical Simple,Repaired,Keyboard pushed down into the mashine. Glued to fix
2015,Tanzania,KCMC Moshi,ECG Machine,Schiller,AT-2 plus,025. 13111,Installation/Training,Repaired,"Too much noise in readings originally, but once more gel was used the readings were normal."
2015,Tanzania,KCMC Moshi,X-Ray Machine,Philips,DuoDiagnost,4558730/000458,Installation/Training,Abandoned,Download of service manual and help troubleshooting
2015,Tanzania,KCMC Moshi,X-Ray Film View Box,Kodak,DirectView cr850 system,,Installation/Training,Repaired,Download of installation manual
2015,Tanzania,KCMC Moshi,Patient Monitor,Hewlett-packet,Omnicare Neonatal V24C,3713A19808,Electric Simple,Repaired,Reassembly of internal wires
2015,Tanzania,KCMC Moshi,Other,Space heater,N/A,N/A,Electric Simple,Repaired,Rewirering and new plug
2015,Tanzania,KCMC Moshi,Aspirator/Suction Machine,Areosol Medical,B.S.5724,GSF KCMC05675,Mechanical Simple,Repaired,"New filter, new tubing adn lubrication of motor"
2015,Tanzania,KCMC Moshi,Oxygen Concentrator,Nuvo,Mark 5,N/A,Other,Repaired,Cleaned and tested for efficiency using flame test.
2015,Tanzania,KCMC Moshi,Patient Monitor,HP,78352C,CN818 05721,Other,Repaired,Broken probe. Replaced
2015,Tanzania,KCMC Moshi,Patient Monitor,HP,78352C,3111G04647,Mechanical Simple,Repaired,Broken fuse and wrong transformer setting
2015,Tanzania,KCMC Moshi,Printer,HP,78173B,2952800948.0,Mechanical Simple,Repaired,Broken fuse and wrong transformer setting
2015,Tanzania,KCMC Moshi,Patient Monitor,HP,V24CT,4006a73100,Mechanical Simple,Repaired,Replugging internal wire and note on longer startup time
2015,Tanzania,KCMC Moshi,Patient Monitor,HP,M1041A,3604G16084,Plumbing,Repaired,"Replugging internal wire, cleaning power supply for dust"
2015,Tanzania,KCMC Moshi,Patient Monitor,HP,V24CT,3707A15810,Mechanical Simple,Repaired,"Replugging internal wire, cleaning power supply for dust"
2015,Tanzania,KCMC Moshi,Patient Monitor,HP,V24CT,3642A15103,Mechanical Simple,Abandoned,"Replugging internal wire, cleaning power supply for dust"
2015,Tanzania,KCMC Moshi,Patient Monitor,HP,V24CT,3642A15081,Mechanical Simple,Abandoned,"Replugging internal wire, cleaning power supply for dust"
2015,Tanzania,KCMC Moshi,Patient Monitor,HP,V24CT,3950A68003,Mechanical Simple,Repaired,"Replugging internal wire, cleaning power supply for dust"
2015,Tanzania,KCMC Moshi,Patient Monitor,HP,V24CT,3727A20688,Mechanical Simple,Repaired,User error
2015,Tanzania,KCMC Moshi,Patient Monitor,HP,V24CT,3713A19808,Mechanical Simple,Repaired,User error
2015,Tanzania,KCMC Moshi,Patient Monitor,GE Dinamap,Pro1000,WAA04340027SA,Electric Simple,Abandoned,Missing power plug and dial. Doesn't turn on with power connected
2015,Tanzania,KCMC Moshi,Patient Monitor,GE Dinamap,Pro1000,WAA04340033SA,Electric Simple,Abandoned,Turns on. Missing probe
2015,Tanzania,KCMC Moshi,X-Ray Film View Box,Kodak,Coldlight Illuminator,N/A,Plumbing,Repaired,Missing plug
2015,Tanzania,KCMC Moshi,Other,Humidifier,N/A,N/A,Mechanical Simple,Repaired,Leaking. Silicon and new parts
2015,Tanzania,KCMC Moshi,Other,Humidifier,N/A,N/A,Mechanical Simple,Repaired,Leaking. Silicon and new parts
2015,Tanzania,KCMC Moshi,Other,Humidifier,N/A,N/A,Mechanical Simple,Repaired,Leaking. Silicon and new parts
2015,Tanzania,KCMC Moshi,Other,Humidifier,N/A,N/A,Mechanical Simple,Repaired,Leaking. Silicon and new parts
2015,Tanzania,KCMC Moshi,"Lamp, surgical",Skylux,ACE-1 8350,A-2380,Plumbing,Repaired,New fuse
2015,Tanzania,KCMC Moshi,Pulse Oximeter,Denk Pharma,Pocket edition,N/A,Electric Simple,Repaired,Probably personal device for a nurse. Corrosion between leads inside removed
2015,Tanzania,KCMC Moshi,Pulse Oximeter,MASimo,RAD/9,A00127,Other,Abandoned,Need of probe
2015,Tanzania,KCMC Moshi,Pulse Oximeter,Datex,SATLITE TRANS,402301.0,Other,Repaired,Working with probe
2015,Tanzania,KCMC Moshi,Pulse Oximeter,Datex,SATLITE TRANS,403996.0,Other,Repaired,Functions but missing probe
2015,Tanzania,KCMC Moshi,Pulse Oximeter,Datex,SATLITE TRANS,401057.0,Other,Repaired,Functions but missing probe
2015,Tanzania,KCMC Moshi,Pulse Oximeter,Datex,SATLITE TRANS,400004.0,Other,Repaired,Functions but missing probe
2015,Tanzania,KCMC Moshi,Pulse Oximeter,INVIVO,4500 PLUS 3,0X402978,Other,Abandoned,Unsure of function because probe is missing
2015,Tanzania,KCMC Moshi,Pulse Oximeter,INVIVO,4500 PLUS 3,0X400249,Other,Abandoned,Unsure of function because probe is missing
2015,Tanzania,KCMC Moshi,"Blood Pressure Device, Automatic (NIBP)",Unimed,U1880S,N/A,Installation/Training,Repaired,User Error. Reconnected to machine with correct adapter and tested cuffs
2015,Tanzania,KCMC Moshi,"Blood Pressure Device, Automatic (NIBP)",Unimed,U1880S,N/A,Installation/Training,Repaired,User Error. Reconnected to machine with correct adapter and tested cuffs
2015,Tanzania,KCMC Moshi,"Blood Pressure Device, Automatic (NIBP)",Unimed,U1880S,N/A,Installation/Training,Repaired,User Error. Reconnected to machine with correct adapter and tested cuffs
2015,Tanzania,KCMC Moshi,"Blood Pressure Device, Automatic (NIBP)",Unimed,U1880S,N/A,Installation/Training,Repaired,User Error. Reconnected to machine with correct adapter and tested cuffs
2015,Tanzania,KCMC Moshi,Electrosurgery Unit (ESU),Pfizer,Valleylab FORCE 40,R4B4225S,Power Supply,Repaired,Changed power cord.
2015,Tanzania,KCMC Moshi,Electrosurgery Unit (ESU),Pfizer,Valleylab FORCE 40,R5I7616S,Power Supply,Abandoned,Power Button was difficult to press
2015,Tanzania,KCMC Moshi,Anesthesia Machine,Dameca,10590.0,9348051.0,Plumbing,Repaired,"Rewiring of tubing, patching bellow, reconfiguration of driving gass and training of staff"
2015,Tanzania,KCMC Moshi,Anesthesia Machine,Dameca,10590.0,9348050.0,Plumbing,Repaired,"Rewiring of tubing, reconfiguration of driving gass and training of staff"
2015,Tanzania,KCMC Moshi,Ventilator,Royal medical,Vent-V,4077.0,Plumbing,Repaired,Tubing rewiring and training of staff
2015,Tanzania,KCMC Moshi,Capnograph,Datex,ULT-s-23-01,30134.0,Electric Simple,Repaired,New power cord
2015,Tanzania,KCMC Moshi,"Blood Pressure Device, Automatic (NIBP)",Unimed,N/A,N/A,Mechanical Simple,Repaired,Leaking cuff. Sealed with silicon.
2015,Tanzania,KCMC Moshi,"Blood Pressure Device, Automatic (NIBP)",N/A,N/A,N/A,Mechanical Simple,Repaired,Replaced attachment nozzle.
2015,Tanzania,KCMC Moshi,Ventilator,Hand ventilator ballon,,N/A,Plumbing,Repaired,Patch of holes
2015,Tanzania,KCMC Moshi,Ventilator,Hand ventilator ballon,,N/A,Plumbing,Repaired,Patch of holes
2015,Tanzania,KCMC Moshi,Ventilator,Test lung,,N/A,Plumbing,Repaired,Patch of holes
2015,Tanzania,KCMC Moshi,Anesthesia Machine,Siemens,Kion 50,190.0,Plumbing,Repaired,Silicon of leakages
2015,Tanzania,KCMC Moshi,Anesthesia Machine,Carl Heyer,Narkomat M,1375-91-348,Mechanical Simple,Repaired,Support of Bellow and rewiring of internal tubing for need of only one cannister of oxygen
2015,Tanzania,KCMC Moshi,Anesthesia Machine,Acoma,PH-3f,17774.0,Plumbing,Repaired,rewiring of tubing and marking of connections
2015,Tanzania,KCMC Moshi,Ventilator,Acoma,ARF-900II,6923.0,Electric Simple,Abandoned,resetting of controls
2015,Tanzania,KCMC Moshi,Anesthesia Machine,Acoma,PH-3f,17779.0,Plumbing,Repaired,rewiring of tubing and marking of connections
2015,Tanzania,KCMC Moshi,"Autoclave (lab, surgery, and other)",London surgical equipment supplies ltd,sterilizer,N/A,Electric Simple,Repaired,resoldering of connections
2015,Tanzania,KCMC Moshi,"Autoclave (lab, surgery, and other)",Matron autocalve,520.0,1238.0,Electric Simple,Abandoned,Recalibration of pressure switch
2015,Tanzania,KCMC Moshi,Other,Nidek,KM-500,31944.0,Power Supply,Repaired,Auto Keratometer. Rewired rechargable battery pack and changed batteries
2015,Tanzania,KCMC Moshi,Defibrillator (automatic and manual),BPL,DF 2509,BZMA5L1333,Power Supply,Abandoned,"The defibrillator can only reach up to 20J, not the necessary 200J. Probably needs new capacitor. "
2015,Tanzania,KCMC Moshi,Defibrillator (automatic and manual),Physio-Control,Lifepak 9P,00007247,Electric Simple,Abandoned,The screen is jumpy and most buttons to not work. Unable to charge paddles
2015,Tanzania,KCMC Moshi,Defibrillator (automatic and manual),Medical Data Electronics Inc. ,MDE Escort,1447.0,Power Supply,Abandoned,Some button lights will turn on but the unit does not charge or display anything on the screen.
2015,Tanzania,KCMC Moshi,Defibrillator (automatic and manual),Hewlett Packard,43120A Defibrillator,2612A51808,Power Supply,Abandoned,Machine will not charge up. Batteries are dead and we were unable to find new rechargable ones of correct size and voltage.
2015,Tanzania,KCMC Moshi,Other,Humidifier,,N/A,Mechanical Simple,Repaired,Filled leaks with silicon and reassembled parts.
2015,Tanzania,KCMC Moshi,Other,Humidifier,,N/A,Mechanical Simple,Repaired,Filled leaks with silicon and reassembled parts.
2015,Tanzania,KCMC Moshi,Other,Humidifier,,N/A,Mechanical Simple,Repaired,Filled leaks with silicon and reassembled parts.
2015,Tanzania,KCMC Moshi,Defibrillator (automatic and manual),Nihon Kohden Coorporation,Cardiolife TEC-710K,20416.0,Power Supply,Repaired,New power cord
2015,Tanzania,KCMC Moshi,Anesthesia Machine,Siemens,Kion 50,200.0,Plumbing,Repaired,Blokage of tubing
2015,Tanzania,KCMC Moshi,Ventilator,Royal medical,Vent-V,4074.0,Plumbing,Repaired,Tubing rewiring and training of staff
2015,Tanzania,KCMC Moshi,Ventilator,Royal medical,Vent-V,4079.0,Plumbing,Abandoned,Tubing rewiring and training of staff
2015,Tanzania,KCMC Moshi,Vacuum Extractor (for delivery),Drager,Evac40,170032181-073061,Installation/Training,Repaired,Suction pump with user error. The staff did not know that the machine can be turned off using the foot pedal.
2015,Tanzania,KCMC Moshi,Other,Humidifier,N/A,N/A,Mechanical Simple,Repaired,Leaking. Silicon and new parts
2015,Tanzania,KCMC Moshi,Other,Humidifier,N/A,N/A,Mechanical Simple,Repaired,Leaking. Silicon and new parts
2015,Tanzania,KCMC Moshi,Anesthesia Machine,Ohmeda,Modulus II Plus,ABQS01087,Power Supply,Repaired,Replacement of broken component in power supply and Stepdown transformer
2015,Tanzania,KCMC Moshi,Nebulizer,Fisher and paykel,MR4010,9641jhb13786,Plumbing,Repaired,Tested settings added typing
2015,Tanzania,KCMC Moshi,"Autoclave (lab, surgery, and other)",Melag,Euroclave 23v-s,0523v-s1484,Plumbing,Abandoned,Error code for leakage. Leakage not fund
2015,Tanzania,KCMC Moshi,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)",Welch Allyn,N/A,50726213424.0,Mechanical Simple,Repaired,Leakage in the tubing. Replaced.
2015,Tanzania,KCMC Moshi,Other,Vaporizer by General Anaesthetic Services,Unit F2B,00 6609,Mechanical Simple,Repaired,Used ethanol and oil to loosen dial. Took apart and cleaned. Risked lives by puposely exposing ourselves to halothane.
2015,Tanzania,KCMC Moshi,Other,Vaporizer by Cyprane Keighley,FLUOTEC3,389689.0,Mechanical Simple,Repaired,Used ethanol and oil to loosen dial. Took apart and cleaned. Risked lives by puposely exposing ourselves to halothane.
2015,Tanzania,KCMC Moshi,Other,Voltage Regulator by AVR,AS-500-23E,13.0,Power Supply,Repaired,Changed power cord.
2015,Rwanda,"Nyagatare Hospital, Nyagatare",Incubator (infant),"Ningbo David Medical Device Co., Ltd.",YP-90A,6034611.0,Mechanical Simple,Repaired,"Fan incorrectly inserted into machine, blocking fan from rotating. Completed preventative maintenance."
2015,Rwanda,"Nyagatare Hospital, Nyagatare",Shaker Machine (laboratory),"Scientific Industries, Inc.",G-560E,2116598.0,Mechanical Simple,Abandoned,Had an inconsistent rotation rate. Open connections.
2015,Rwanda,"Nyagatare Hospital, Nyagatare","Blood Pressure Device, Automatic (NIBP)","Bokang Instruments Co., Ltd.",BK6022,22110426001888,Installation/Training,Repaired,Is functional.
2015,Rwanda,"Nyagatare Hospital, Nyagatare","Blood Pressure Device, Automatic (NIBP)","Bokang Instruments Co., Ltd.",N/A,N/A,Mechanical Simple,Repaired,Had loose parts.
2015,Rwanda,"Nyagatare Hospital, Nyagatare",Incubator (infant),GE Healthcare,Lullaby Incubator XP,1106XP02531201,Electric Simple,Repaired,Had a damaged varistor.
2015,Rwanda,"Nyagatare Hospital, Nyagatare",Incubator (infant),Unknown,N/A,N/A,Other,Abandoned,Is missing parts.
2015,Rwanda,"Nyagatare Hospital, Nyagatare",Oxygen Concentrator,Weinmann,Oxymat 3,27222.0,Electric Simple,Repaired,Had an open fuse. Has low oxygen concentration output. Alarms disabled.
2015,Rwanda,"Nyagatare Hospital, Nyagatare",Oxygen Concentrator,Invacare,IRC5PO2VAW,N/A,Electric Simple,Abandoned,Has a damaged transformer.
