country,fix,equipment,engineers,sn,oem,year,model,hospital,notes,result
,Installation/Training,Ultrasound Machine (imaging),,00W295,ATL Ultrasound,2013,HDI-5000,,Machine was decommissioned previously,Abandoned
,Mechanical Simple,Centrifuge,,313139.0,Gemmy,2013,KHT-430,,"Rubber Seal was stiff, cut down to ensure fit",Repaired
,Mechanical Simple,BP Cuff,,,Riester,2013,,,Leak in gauge and the needle sticks,Repaired
,Other,BP Cuff,,,Riester,2013,,,miscalibrated but working,Repaired
,Mechanical Simple,BP Cuff,,,,2013,,,"valve lets out air too quickly, cuff messed up",Repaired
,Mechanical Simple,BP Cuff,,,Riester,2013,,,pump is hard to pump,Repaired
,Mechanical Simple,BP Cuff,,,Riester,2013,,,clogged filter,Repaired
,Other,BP Cuff,,,F.Bosch,2013,123.0,,calibration error,Repaired
,Mechanical Simple,BP Cuff,,,Riester,2013,,,clogged filter,Repaired
,Mechanical Simple,BP Cuff,,,Riester,2013,,,knob comes off,Repaired
,Other,BP Cuff,,,Riester,2013,,,broken,Abandoned
,Other,BP Cuff,,,,2013,,,"zero is at 280, miscalibrated",Repaired
,Mechanical Simple,Dental Drilling Machine,,138097-1497,Quayle,2013,,,"missing tubing connecting to compressor, needed maintenance (removing water and cleaning), fixed the water tank, attached the holders for the drilling heads",Repaired
,Installation/Training,Autoclave,,,Fullers Medical,2013,1516.0,,"actually this was working and they didn’t realize, we just tested it",Repaired
,Mechanical Simple,Autoclave,,3231.0,All American,2013,75X,,missing a rubber seal,Repaired
,Electric Simple,Microscope,,,Olympus,2013,CH30,,"blown bulb, bought a new one",Repaired
,Power Supply,Fridge,,,Electrolux ,2013,TCW 1151,,we dotn know whats wrong with this one,Abandoned
,Motor,Mixer,,,Vivadent,2013,,,Burned coils,Abandoned
,Motor,Mixer,,,,2013,,,Burned coils,Abandoned
,Mechanical Simple,Pulse Oximeter,,CE0118,Geratherm,2013,Gt-300C203,,tape,Repaired
,Electric Simple,ECG Machine,,110010156.0,BioCare,2013,ECG101,,Cord repair and cleaned/sanded,Repaired
,Other,Otoscopes,,,Welch Allyn,2013,,,Cleaned inside,Repaired
,Electric Simple,Pulse Oximeter,,0A006A0126,Charmcare,2013,cx100,,battery; solicit new batttery,Repaired
,Electric Simple,Infusion pumps,,6334.0,Medex,2013,Medfusion 2001,,battery; solicit new batttery,Repaired
,Other,Other,,813451.0,Danmeter,2013,Elpha 2000,,Electrodes were dirty. Cleaned with alcohol,Repaired
,Installation/Training,Telephone,,,Siemens,2013,euroset,,Cleaned inside and installed,Repaired
,Mechanical Simple,Telephone,,,Siemens,2013,euroset,,"Cleaned inside, switched out tone button and installed",Repaired
,Electric Simple,Other,,1553.0,Chattanooga Group,2013,Intellect 240Stim,,Cleaned thoroughly inside; covered open hole,Repaired
,Other,Other,,89904914.0,Oxford Instruments Sonicaid,2013,Antepartum Singleton Monitoring,,"cardiotocography; straightened printer; toco cleaned, replaced membrane. Toco came back not working",
,Other,Aspirator/Suction Machine,,,Thomas,2013,1240 Series,,Cleaned bottles and tubes; added a filter,Repaired
,Electric Simple,Other,,,Uni-T,2013,UT203,,Digital Clamp Multimeter; changed batteries,Repaired
,Electric Simple,X-Ray Film View Box,,,,2013,,,Needs new starters and flourescent tubes,
,Plumbing,Other,,,,2013,,,Cryotherapy; Cylinder leaked N2 when turned on; company's responsibility to replace,
,Mechanical Simple,Centrifuge,,,Hettich,2013,D-78530,,Slow rotation; broken pieces; Cleaned,Repaired
Nicaragua,Other,Other,"Allie Hyans, Kendall Covington, Mary Kate Hardy",3552357.0,HealthDyne,2013,323.0,Puesto de Salud: Roberto Cortez/Chinandega,General cleaning and maintenance of a nebulizer,Repaired
Nicaragua,Mechanical Simple,Microscope ,"Allie Hyans, Kendall Covington, Mary Kate Hardy",C111-0024-005,WestOver Scientific,2013,Catologue #MC1200,Puesto de Salud: Roberto Cortez/Chinandega,Cleaned and attempted to tighten the lose fine focus knob but it was difficult to access so we were only able to decrease the amount it slid,Repaired
Nicaragua,Mechanical Simple,Other,"Allie Hyans, Kendall Covington, Mary Kate Hardy",,ABC Labo,2013,,Puesto de Salud: Roberto Cortez/Chinandega,The mechanical laboratory cell counter had some digits that didn’t reset when they were supposed to.  Because the pieces were so old and worn we were unable to adjust them to make the pieces turn when they should.,Abandoned
Nicaragua,Electric Simple,Microscope ,"Allie Hyans, Kendall Covington, Mary Kate Hardy",T38E07743,Olympus,2013,CH30RF100,Puesto de Salud: Roberto Cortez/Chinandega,Needed a new lightbulb but a replacement was not readily availible.,Abandoned
Nicaragua,Other,Microscope ,"Allie Hyans, Kendall Covington, Mary Kate Hardy",9M81225,Olympus,2013,CX21,Puesto de Salud: Roberto Cortez/Chinandega,General cleaning and maintenance ,Repaired
Nicaragua,Mechanical Simple,Other,"Allie Hyans, Kendall Covington, Mary Kate Hardy",20053.0,Salter Labs,2013,Salter Aire Plus,Puesto de Salud: Roberto Cortez/Chinandega,"The nebulizer had low air output so we cleaned the filter, housing, tubes and valves",Repaired
Nicaragua,Other,Other,"Kendall Covington, Mary Kate Hardy, Allie Hyans",3552357.0,HealthDyne,2013,323.0,"Chinandega Centro de Salud, El Calvario/Chinandega","Nebulizer, cleaning and maintenance",Repaired
Nicaragua,Mechanical Simple,Microscope ,"Kendall Covington, Mary Kate Hardy, Allie Hyans",011-0024-005,Westover Scientific,2013,Biological Microscope MC1200,"Chinandega Centro de Salud, El Calvario/Chinandega","Tried to adjust/tigheten fine focus knob, but were unable to access inside mechanism",Abandoned
Nicaragua,Mechanical Simple,Other,"Kendall Covington, Mary Kate Hardy, Allie Hyans",,ABC Labo,2013,Cell Counter,"Chinandega Centro de Salud, El Calvario/Chinandega",Not all of the numbers would reset when the dial was pushed. Attempted to repair but was unable to fix the sticky mechanism,Abandoned
Nicaragua,Electric Simple,Microscope ,"Kendall Covington, Mary Kate Hardy, Allie Hyans",T38E07743,Olympus,2013,CH30RF100,"Chinandega Centro de Salud, El Calvario/Chinandega","Did not turn out, needs new bulb but were unable to purchase",Abandoned
Nicaragua,Other,Microscope ,"Kendall Covington, Mary Kate Hardy, Allie Hyans",9M81225,Olympus,2013,CX21FS1,"Chinandega Centro de Salud, El Calvario/Chinandega",Cleaning and maintenance,Repaired
Nicaragua,Mechanical Simple,Other,"Kendall Covington, Mary Kate Hardy, Allie Hyans",820053.0,Salter Labs,2013,Salter Aire Plus,"Chinandega Centro de Salud, El Calvario/Chinandega","Nebulizer, low air output, so cleaned reed valves, filter, and tubing. ",Repaired
Tanzania,Installation/Training,BP Cuff (manual),"Greg Canal, Steven McGie",,Welch-Allyn,2013,Tycos,Nkoaranga,Found in Pharmacy Stoo. Matron of Female Ward will file request to use it there.,Repaired
Tanzania,Other,Microscope,"Greg Canal, Steven McGie",,Samwon,2013,CSB-GA2,Nkoaranga,Lab. Higher 2 objectives blurry. Evidence of fungus on them. Cleaned with bleach. Confirmed satisfactory by lab staff. Guide to cleaning provided in English & Swahili. Sent to Kikatiti dispensary.,Repaired
Tanzania,Other,Microscope,"Greg Canal, Steven McGie",82897.0,,2013,XSZ-107BN,Nkoaranga,Lab. Higher 2 objectives blurry. Evidence of fungus on them. Cleaned with bleach. Confirmed satisfactory by lab staff. Guide to cleaning provided in English & Swahili. May be sent to dispensary.,Repaired
Tanzania,Other,Microscope,"Greg Canal, Steven McGie",5B93149,Olympus,2013,CX21FS1,Nkoaranga,Lab. Higher 2 objectives blurry. Evidence of fungus on them. Cleaned with bleach. Confirmed satisfactory by lab staff. Guide to cleaning provided in English & Swahili.,Repaired
Tanzania,Other,Microscope,"Greg Canal, Steven McGie",222828.0,Nikon,2013,Labophot,Nkoaranga,Lab. Higher 2 objectives blurry. Evidence of fungus on them. Cleaned with bleach. Confirmed satisfactory by lab staff. Guide to cleaning provided in English & Swahili. Left with PowerBright transfomer. May be sent to dispensary.,Repaired
Tanzania,Installation/Training,Transformer,"Greg Canal, Steven McGie",GS07C12702496,GoldSource,2013,,Nkoaranga,"Lab. Reported as broken, but found to be working. Left attached to Leitz-Wetzlar microscope.",Repaired
Tanzania,Installation/Training,Transformer,"Greg Canal, Steven McGie",GS201101SB004298,PowerBright,2013,VC-200W,Nkoaranga,"Lab. Reported as broken, but found to be working. Left attached to Nikon Labophot microscope.",Repaired
Tanzania,Electric Simple,UPS,"Greg Canal, Steven McGie",,APC,2013,Back-UPS CS 650,Nkoaranga,Lab. Does not turn on when plugged in. Battery may be depleted (12.5 V),Abandoned
Tanzania,Electric Simple,UPS,"Greg Canal, Steven McGie",,APC,2013,Back-UPS CS 500,Nkoaranga,"Lab. We thought that it only worked in battery mode, but the wall voltage was a bit lower that day so it thought there was a power outage. Contacted APC and they gave instructions to lower the sensitivity, so a wider range of input voltages is accepted. Returned to use.",Repaired
Tanzania,Other,Microscope,"Greg Canal, Steven McGie",1815.0,Leitz-Wetzlar,2013,SM-LUX,Nkoaranga,Lab. Was missing 100x objective; one taken from OMO AY-12 microscope and cleaned. Confirmed satisfactory by lab staff. Guide to cleaning provided in English & Swahili. Left with GoldSource transformer and custom power cable to connect to it. May be sent to dispensary.,Repaired
Tanzania,Other,ESU,"Greg Canal, Steven McGie",R4J 5764S,Pfizer,2013,Valleylab Force 40,Nkoaranga,"Surgery. Error message says Coag key on probe is stuck. Continuity test confirms probe is working properly - internal problem suspected. Unable to determine problem on circuit board. Told by company it is no longer serviced. Later unable to turn on. Investigated power supply, particularly transformer and voltage switch. Tried both on 220 V mode and 110 V mode (with transformer). Unable to determine problem. Abandoned, in the hope that it could be replaced by the newly-found Hyfrecator ESU.",Abandoned
Tanzania,Other,Oxygen Concentrator,"Greg Canal, Steven McGie",10215614.0,Nidek,2013,Nuvo Lite Mark 5,Nkoaranga,"Maternity. Alarm sounds during power on and does not stop for at least 30s. This is remedied if zeolite filter is swapped with a working concentrator. If this concentrator's zeolite filter (S/N 710080674) is put into another concentrator, that concentrator will alarm similarly. We therefore believe the zeolite filter to be the source of the problem. Fails candle test, which other working concentrators have been confirmed to pass. Battery power seems to operate successfully. Tested pressure - 75-77 cmH2O (less than other concentrators of the same model). Changing pressure regulator allows pressure to go from 0 to 84 cmH2O. Tried swapping valve assemblies with -613 - results inconclusive.",Abandoned
Tanzania,Other,Oxygen Concentrator,"Greg Canal, Steven McGie",10215613.0,Nidek,2013,Nuvo Lite Mark 5,Nkoaranga,Male ward. Asked by staff to test oxygen concentration. Flame test positive. Note from EWH 2012 says 60% O2,Repaired
Tanzania,Motor,Aspirator/Suction Machine,"Greg Canal, Steven McGie",LY685078002,Atmos,2013,RP25,Nkoaranga,"Male ward. 4 uF capacitor on motor blown (reads 0.05 nF) and disconnected. Manual connection with capacitor failed to start motor. Motor could be started without capacitor by turning on power and manually spinning motor fan, but the resulting suction was highly inconsistent (rapidly oscillated between 0 and 0.6). Additionally, power switch had fallen inside casing. Power light taken for use in Aesculap IC-446 water bath (Maternity). Tried replacing capacitor with a 25 uF one (as close as we could find), but this resulted in blown fuses shortly after the motor started. Finally replaced with a 5 uF capacitor taken from Clinaseal centrifuge. Light replaced by blue bulb. Power button epoxied into place. Returned to male ward ICU.",Repaired
Tanzania,Installation/Training,Pulse Oximeter,"Greg Canal, Steven McGie",118-75723,Ohmeda,2013,Biox 3700,Nkoaranga,"Children's ward. Suspected user errors: having probe in light, movement artefacts, and/or incorrect ""Viewing Angle"" dial. Returned with notes. Later asked to add additional note stating that it had no batteries.",Repaired
Tanzania,Installation/Training,ECG / BP Machine (automatic) / Thermometer,"Greg Canal, Steven McGie",90309.0,SpaceLabs,2013,FlexPort,Nkoaranga,"Male ward. Asked by staff to test. Uncertain whether there was a perceived problem or not. Due to complexity of the device, user error is suspected. Looking into manuals in order to create guide. Batteries found to be destroyed (should both read 12 V, read 4.4 & 3.9 V). Taken to Surgery in exchange for Corometrics BP machine. Basic guide created.",Repaired
Tanzania,Other,Oxygen Concentrator,"Greg Canal, Steven McGie",10215615.0,Nidek,2013,Nuvo Lite Mark 5,Nkoaranga,Children's ward. No problem - simply borrowed in order to determine efficacy of flame test for oxygen conentration.,Repaired
Tanzania,Other,Microscope,"Greg Canal, Steven McGie",N911188,OMO,2013,AY-12,Nkoaranga,Male Stoo. Missing lamp. 100x objective taken in order to install it in Leitz microscope.,Abandoned
Tanzania,Electric Simple,Pulse Oximeter,"Greg Canal, Steven McGie",,BCI,2013,Fingerprint,Nkoaranga,Maternity. Batteries installed in wrong direction.,Repaired
Tanzania,Installation/Training,Pulse Oximeter,"Greg Canal, Steven McGie",,CMS50L,2013,,Nkoaranga,"Palliative. Suspected user errors: having probe in light, movement artefacts, and/or incorrect ""Viewing Angle"" dial. Returned with notes.",Repaired
Tanzania,Other,BP Cuff (automatic),"Greg Canal, Steven McGie",,Corometrics,2013,555.0,Nkoaranga,"Taken from Surgery for Male ward ICU. Initially found no problem, but was found to occasionally have spurts of motor activity, trying to inflate cuff more. Small crack in internal tubing found, and sealed with caulking as prevention (this didn't seem to be the root of the issue). Worked well in initial testing, but motor sputtered repeatedly again during testing in Male ward ICU. ""Interval Change"" button not working. Instructions written and attached. Additional leak found in external tubing going to cuff - sealed with epoxy. Later unusual behavior solved by turning input voltage on attached Powerbright transformer from 240 to 220 V. Seems to generally work well. Given to Female ward.",Repaired
Tanzania,Power Supply,Transformer,"Greg Canal, Steven McGie",,Todd Systems,2013,,Nkoaranga,No problem itself. Cable spliced to make it 3-prong UK-style. Taken from Surgery. To be kept with Colin BP machine in Male ward ICU.,Repaired
Tanzania,Plumbing,Other (compressor),"Greg Canal, Steven McGie",5711-100,Schuco-Mist,2013,,Nkoaranga,"Originally taken from Magodoro in an effort to salvage capacitor for Atmos suction pump. No capacitor found. Missing output tubing - replaced. Attached to transformer with custom grounding. No department immediately claimed it - left in ""Engineering"" room.",Repaired
Tanzania,Other,ECG Machine,"Greg Canal, Steven McGie",,Cardioline,2013,Eta40,Nkoaranga,"Magodoro. Missing batteries. Turns on with wall power, but doesn't function properly in any way.",Abandoned
Tanzania,Other,ECG Machine,"Greg Canal, Steven McGie",E'2180 03023,Siemens,2013,Sirecust 302A,Nkoaranga,Magodoro. Produces large amounts of smoke when turned on.,Abandoned
Tanzania,Electric Simple,Thermometers,"Greg Canal, Steven McGie",,IVAC,2013,Temp-Plus II,Nkoaranga,Magodoro.x2. Lacking batteries. Do not turn on reliably when given batteries. Uncertain if they would be used if repaired.,Abandoned
Tanzania,Power Supply,Transformer,"Greg Canal, Steven McGie",,PowerBright,2013,VC-200W,Nkoaranga,Surgery. Replaced blown fuse.,Repaired
Tanzania,Power Supply,"Blood Pressure Device, Automatic (NIBP)","Greg Canal, Steven McGie",A703817,Colin,2013,Press-Mate BP-8800C,Nkoaranga,"Surgery. Found to have blown fuse. Worked upon replacement. However, since fuses are long (3 cm), a regular, short fuse was used with a spring of wire attached. Later replaced with an actual long fuse. Delivered to Male ward ICU with Todd Systems transformer - deemed acceptable by staff.",Repaired
Tanzania,Other,Aspirator/Suction Machine,"Greg Canal, Steven McGie",1466.0,Ritter,2013,D80,Nkoaranga,"Dental. 13A fuse in plug was blown - replaced. Capacitor-like filter module in blower was damaged - replacement successful (capacitor & resistor). Thereafter, large suction worked, but small (the one specifically requested for repair) didn't. Ground wire found to be melted. Compressor for water found to be jammed - manually pushed to clear jam. Small suction still not working - suspected issues with electrical valves. Rubber tip from small suction found to fit on large suction. Deemed acceptable by Dental department. Notes left.",Repaired
Tanzania,Other,"Lamp, surgical","Greg Canal, Steven McGie",[illegible],Ritter,2013,LumoStar,Nkoaranga,"Dental. Bulb connections were loose. Added mass with solder and bent leads for a more secure fit. Later, filament found to have dislodged. Replaced. Connections squeezed with pliers to provide a tighter fit. Will write guide to re-establishing loose connection.",Repaired
Tanzania,Electric Simple,Water Bath (laboratory),"Greg Canal, Steven McGie",240864.0,Aesculap,2013,IC-446,Nkoaranga,"Maternity. Power cable found in Surgery. Fuse in plug found to be shorted. Evident burn marks around nearest wall socket. Upon opening, found many broken connections. Resoldering provided successful operation. Also, lamp was missing - replaced with one from Atmos RP25 suction unit (S/N LY685078002). Thermostat confirmed to work - set to allow for boiling.",Repaired
Tanzania,Power Supply,Infant Warmer (radiant or other),"Greg Canal, Steven McGie",AAQG00042,Ohmeda,2013,Ohio 3300,Nkoaranga,"Children's. Switch to detect when lamp was tilted away from bed (for X-ray) found not to work properly. Shorted to make system think lamp is always above bed. Audio alarm found to be loose - resoldered, now working. Error message received about line power. Input voltage noted to gradually decrease over operation duration - faster as the heating element power is increased. Line Voltage Compensation calibration procedure suggests that initial voltage should be acceptable. Other calibrations run also suggest acceptable values. Voltage regulator found to keep voltage stable. Purchased new voltage regulator, found to malfunction at times and keep voltage stable at other times. Found to last twice as long before error if case is left off of regulator. Attempt to create ventilated metal housing attached to heat sinks. Next attempt to turn on resulted in system failure within 5 seconds, with or without casing.",Abandoned
Tanzania,Other,Infusion pumps,"Greg Canal, Steven McGie",12656913.0,IVAC,2013,700.0,Nkoaranga,"Magodoro. Found to need specialized IVAC syringes. Also found to be unreliable in starting up and staying on (only turns on about 1 time out of 3, and unpredictably so, and then shuts down with error message within 20-30 seconds). Nature of error messages unknown due to lack of manual (in hospital or online).",Abandoned
Tanzania,Installation/Training,"Oven (laboratory, not kitchen)","Greg Canal, Steven McGie",,Memmert,2013,200.0,Nkoaranga,"Maternity. Staff suggests it doesn't heat enough. Visible internal sparking comes from mercury switch on thermostat - not thought to be a malfunction, just a product of the switch design. Loose wire visibly hanging down into chamber was concerning, but since found to be temperature probe. Timer mode does not seem to work. Temperature display malfunctioning. Oven itself still functions well, and thermostat turns off at correct temperature. Suspected user error. Will write/modify guide.",Repaired
Tanzania,Electric Simple,Phototherapy device,"Greg Canal, Steven McGie",,EWH,2013,,Nkoaranga,"Children's. Work fine, but needs US to UK adapter. Acquired and supplied.",Repaired
Tanzania,Other,Infant Warmer (radiant or other),"Greg Canal, Steven McGie",,EWH,2013,,Nkoaranga,"Children's. Seems to work as expected, but does not heat up past 26oC. We suspect that nothing is broken, it's just an unusual design. Tried to use heating element intended for water boiling as a substitute, but plastic on heater was melting before sufficient heat obtained.",Abandoned
Tanzania,Electric Simple,Centrifuge,"Greg Canal, Steven McGie",5097.0,Hettich,2013,Universal 1200,Nkoaranga,"Lab. Timer found to be off by 3.5 minutes. Possible to start motor by shorting across timer or simply by having timer running, but not possible to open lid lock by similar methods. Returned to lab with lid left slightly open, bypassing lock. Guide written. Suggested primarily as a backup should their main centrifuge fail.",Repaired
Tanzania,Electric Simple,X-Ray Machine,"Greg Canal, Steven McGie",,Siemens,2013,Polymat 50,Nkoaranga,"X-Ray. Activation switch wasn't operational. Plugged and unplugged, and rotated key. Worked thereafter. Will write guide.",Repaired
Tanzania,Plumbing,Respiration monitor (apnea monitor),"Greg Canal, Steven McGie",10204.0,Sechrist,2013,IV-100B,Nkoaranga,"Magodoro. Seems to work fine, but can't test without O2 & air tanks. Would need 2 9V batteries to run without AC power (necessary due to frequency blackouts and vital nature of the machine), but the clips would need to be externalized? To allow easy changing. Needs transformer, but is 3-prong. Doesn't seem that Schuco-Mist compressor could be hooked up to air input, due to specialized plug. Informed that hospital does not keep bottled air (only oxygen & nitrogen). May also not be able to find suitable patient connections.",Abandoned
Tanzania,Other,Other (test tube incubator),"Greg Canal, Steven McGie",,Dr Lange,2013,Thermostat LT 400,Nkoaranga,Container 3. Thermostat extracted for possible use in non-branded water bath.,Abandoned
Tanzania,Installation/Training,Centrifuge,"Greg Canal, Steven McGie",,Hettich,2013,Haematokrit,Nkoaranga,"Container 2. Found working. Originally intended to use for parts for Hettich Universal centrifuge, but lab stated that they wanted it as is. Will write guide.",Repaired
Tanzania,Power Supply,Other (cast saw),"Greg Canal, Steven McGie",901040.0,Stryker,2013,848 Cast Cutter,Nkoaranga,"Container 4. Found working. Cleaned. Delivered to Surgery. Only noticed thereafter that it needed a high-current transformer (uses 9.4 A). Removing vacuum (which requires 8.2 of the 9.4 A) and made new cable to allow the saw to be used independently (grounding soldered to transformer casing). Concern was raised that the blade vibrates back and forth, rather than rotating continuously. This was later confirmed to be intentional. Tested successfully on piece of foam. Delivered to surgery with transformer attached. Vacuum to be returned to storage seperately.",Repaired
Tanzania,Other,Aspirator/Suction Machine,"Greg Canal, Steven McGie",77302.0,Dr Lange,2013,,Nkoaranga,"Container 9. Works, but not well enough to provide suction. Source seems to be the design of the pump motor, which is odd. It seems to operate as intended, but does not seem intended for high-power applications. Abandoned.",Repaired
Tanzania,Electric Simple,Pulse Oximeter,"Greg Canal, Steven McGie",G99811730,Nellcorr Puritan Bennett,2013,NPB-290,Nkoaranga,"Container 3. Note from EWH 2012 said they thought the problem was with a connector, and that they wanted to splice around it. We have done so. Gives errors 4 (dead battery) and sometimes 52 (reset to factory default parameters). Battery did not hold charge. Cannot bypass error messages to run from wall power. Abandoned.",Abandoned
Tanzania,Electric Simple,Water Bath (laboratory),"Greg Canal, Steven McGie",,,2013,,Nkoaranga,"Container 3. Note from EWH 2011 said it needed a thermostat. Took one from Dr Lange Thermostat LT 400. New power cable spliced, incorporating thermostat. Heating element works well. Leaks sealed with caulking.",Abandoned
Tanzania,Mechanical Simple,Scales (laboratory and in wards),"Greg Canal, Steven McGie",509000978.0,ADE,2013,M20/313/812,Nkoaranga,Maternity. Height measuring device needed to be screw in.,Repaired
Tanzania,Installation/Training,Electrosurgery Unit (ESU),"Greg Canal, Steven McGie",,Birtcher,2013,Hyfrecator,Nkoaranga,Container 3. Abandoned by EWH 2012 because they thought it was missing dispersive electrode. Found to not require dispersive electrode. Effective when tested on bar of soap. Needs transformer. Testing on resistor was inconclusive - no voltage seen. Delivered to Surgery with Powerbright transformer and manual.,Repaired
Tanzania,Other,ECG Machine,"Greg Canal, Steven McGie",,Helige,2013,Multiscriptor EK33,Nkoaranga,"Container 2. Turns on and seems to read levels, but paper moves at erratic speeds. May not be properly contacting rollers. Also, no electrodes.",Abandoned
Tanzania,Electric Simple,"Blood Pressure Device, Automatic (NIBP)","Greg Canal, Steven McGie",283180048.0,Schwarzhaupt,2013,BE 700SE,Nkoaranga,Container 2. Something in the frontmost circuit board sparked and smoked upon turning on. Unable to determine exact cause. Abandoned.,Abandoned
Tanzania,Electric Simple,"Oven (laboratory, not kitchen)","Greg Canal, Steven McGie",,Melag,2013,221S?,Nkoaranga,"Minor Theatre. Power switch found to 'stick' on sometimes. Suspected user error: while most ovens require both the power switch and timer to be on in order to function, this requires either (i.e., power switch is only for manually-timed operation). Power switch wires removed and insulated in order to disable. Guide will be written instructing staff to use timer only. Also, note will be made that having a thermometer on the outside does not read the internal temperature correctly.",Repaired
Tanzania,Other,"Lamp, examination","Greg Canal, Steven McGie",,Burton,2013,Outpatient II,Nkoaranga,Minor Theatre. Head did not stay in place - fell under gravity. Nuts inside head tightened. Power inconsistent due to broken plug adapter - replaced.,Repaired
Tanzania,Electric Simple,"Oven (laboratory, not kitchen)","Greg Canal, Steven McGie",,Gallenkamp,2013,"Economy Incubator, size 1",Nkoaranga,"Lab. Turns on (following plug replacement), but does not heat sufficiently. Unusually high resistance(340 ohm, rather than expected 40 ohn) found across heating elements. Tried cleaning rust off of contact, but resistance remains the same.",Abandoned
Tanzania,Electric Simple,"Oven (laboratory, not kitchen)","Greg Canal, Steven McGie",,Aesculap,2013,Iso 400,Nkoaranga,"Lab. Turns on (following plug replacement). Heats well, albeit somewhat slowly. Thermostat turns off at correct temp. Timer works. Only part that doesn't work is the temp. gauge (only display - temperature probe works well). Will make/modify guide accordingly.",Repaired
Tanzania,Electric Simple,Other (fridge),"Greg Canal, Steven McGie",,Roy,2013,,Nkoaranga,"Lab. Plug had blown 13A fuse. Upon fuse replacement, plug taken for use is Aesculap Iso 400 oven. Many loose wires visibly in back. Upon trying to turn on, another 13A fuse was blown. No replacements available. Most likely explanation may be a short inside the small black box attached to the compressor. Abandoned.",Abandoned
Tanzania,Electric Simple,"Oven (laboratory, not kitchen)","Greg Canal, Steven McGie",,Aesculap,2013,Iso 100,Nkoaranga,"Magodoro. Note from EWH 2012 called it water bath and said it leaked. Leaks found around heating element wires. Thought design seemed odd for a water bath. Currently thought to actually be an oven (since Aesculap Iso 400 is, and since that makes more sense from a design perspective). Gives shock when casing touched, if running. Efforts to improve grounding unsuccessful. Abandoned.",Abandoned
Tanzania,Other,Centrifuge,"Greg Canal, Steven McGie",30508.0,Block Scientific Inc.,2013,Model OCT-VI,Nkoaranga,"Magodoro. Note from 2009 says the timing mechanism doesn't work with 50 Hz power. Can't get motor to turn. Can't open. Realized that lab wouldn't use due to using smaller test tubes than required for this device. Also, lab already has 2 working centrifuges. Abandoned.",Abandoned
Tanzania,Power Supply,"Autoclave (lab, surgery, and other)","Greg Canal, Steven McGie",A3-43636,Pelton & Crane,2013,,Nkoaranga,"Minor Theatre. Turns on, but heat light doesn't seem to be on at appropriate times (shouldn't be on during Fill and Vent). Touching casing gave very mild shock - fixed by replacing plug (old one had poor contact on ground pin). Reservoir's drain pipe missing cap to prevent outflow. Also suspected is possible user error, owing to the complexity of operation and English-only instructions. Most important problem: needs high-power transformer (1250 W). Since no such transformer is available, was abandoned.",Abandoned
Tanzania,Installation/Training,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)","Greg Canal, Steven McGie",,Riester Precisa N,2013,,Nkoaranga,"Found working in Pharmacy Stoo. Will attempt to distribute to staff and, failing that, store in Pharmacy.",Repaired
Tanzania,Installation/Training,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)","Greg Canal, Steven McGie",,Medline.,2013,,Nkoaranga,"Found working in Pharmacy Stoo. Will attempt to distribute to staff and, failing that, store in Pharmacy.",Repaired
Tanzania,Installation/Training,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)","Greg Canal, Steven McGie",,various,2013,,Nkoaranga,"Assembled from spare BP cuff parts. Unlabelled Green fabric, Tycos guage. Will attempt to distribute to staff and, failing that, store in Pharmacy.",Repaired
Tanzania,Installation/Training,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)","Greg Canal, Steven McGie",,various,2013,,Nkoaranga,"Assembled from spare BP cuff parts.Will attempt to distribute to staff and, failing that, store in Pharmacy. Welch-Allyn size 11 cuff, Tycos guage.",Repaired
Tanzania,Installation/Training,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)","Greg Canal, Steven McGie",,various,2013,,Nkoaranga,"Assembled from spare BP cuff parts. Will attempt to distribute to staff and, failing that, store in Pharmacy. Unlabelled dark blue adult cuff, Olpress guage.",Repaired
Tanzania,Installation/Training,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)","Greg Canal, Steven McGie",,various,2013,,Nkoaranga,"Assembled from spare BP cuff parts. Will attempt to distribute to staff and, failing that, store in Pharmacy. Black Welch-Allyn cuff, beige bulb from Boso, Spiedel-Keller guage (recalibrated).",Repaired
Tanzania,Installation/Training,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)","Greg Canal, Steven McGie",,various,2013,,Nkoaranga,"Assembled from spare BP cuff parts. Will attempt to distribute to staff and, failing that, store in Pharmacy. Critikon adult cuff, Prestige guage (recalibrated)",Repaired
Tanzania,Installation/Training,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)","Greg Canal, Steven McGie",,various,2013,,Nkoaranga,"Assembled from spare BP cuff parts. Will attempt to distribute to staff and, failing that, store in Pharmacy. Tycos wall-mounted guage, Critikon cuff.",Repaired
Tanzania,Installation/Training,Stethoscopes,"Greg Canal, Steven McGie",,unknown,2013,,Nkoaranga,White PureTone. Found working in BP cuff box from Container.,Repaired
Tanzania,Installation/Training,Stethoscopes,"Greg Canal, Steven McGie",,unknown,2013,,Nkoaranga,Black unlabelled. Assembled with replacements from BP cuff box from Container.,Repaired
